customer_id,customer_name,customer_email,customer_phone,customer_address
1,John Doe,john@example.com,1234567890,123 Main St
2,Jane Smith,jane@example.com,0987654321,456 Oak St
3,Alice Johnson,alice@example.com,2345678901,789 Pine St
4,Bob Brown,bob@example.com,3456789012,101 Maple Ave
5,Charlie White,charlie@example.com,4567890123,202 Birch Blvd
6,Customer_6,customer6@retail.com,+1-202-9406819,Address_6
7,Customer_7,customer7@retail.com,+1-202-4928495,Address_7
8,Customer_8,customer8@retail.com,+1-202-3838766,Address_8
9,Customer_9,customer9@retail.com,+1-202-5786943,Address_9
10,Customer_10,customer10@retail.com,+1-202-9558497,Address_10
11,Customer_11,customer11@retail.com,+1-202-9602226,Address_11
12,Customer_12,customer12@retail.com,+1-202-6385015,Address_12
13,Customer_13,customer13@retail.com,+1-202-7479600,Address_13
14,Customer_14,customer14@retail.com,+1-202-2596747,Address_14
15,Customer_15,customer15@retail.com,+1-202-6010360,Address_15
16,Customer_16,customer16@retail.com,+1-202-2408390,Address_16
17,Customer_17,customer17@retail.com,+1-202-2770368,Address_17
18,Customer_18,customer18@retail.com,+1-202-1740487,Address_18
19,Customer_19,customer19@retail.com,+1-202-7027379,Address_19
20,Customer_20,customer20@retail.com,+1-202-8483877,Address_20
21,Customer_21,customer21@retail.com,+1-202-3559226,Address_21
22,Customer_22,customer22@retail.com,+1-202-9008093,Address_22
23,Customer_23,customer23@retail.com,+1-202-9219792,Address_23
24,Customer_24,customer24@retail.com,+1-202-4590098,Address_24
25,Customer_25,customer25@retail.com,+1-202-7651796,Address_25
26,Customer_26,customer26@retail.com,+1-202-6764251,Address_26
27,Customer_27,customer27@retail.com,+1-202-9001244,Address_27
28,Customer_28,customer28@retail.com,+1-202-5972477,Address_28
29,Customer_29,customer29@retail.com,+1-202-4479478,Address_29
30,Customer_30,customer30@retail.com,+1-202-1095590,Address_30
31,Customer_31,customer31@retail.com,+1-202-9140332,Address_31
32,Customer_32,customer32@retail.com,+1-202-4150417,Address_32
33,Customer_33,customer33@retail.com,+1-202-2616502,Address_33
34,Customer_34,customer34@retail.com,+1-202-9044955,Address_34
35,Customer_35,customer35@retail.com,+1-202-5332229,Address_35
36,Customer_36,customer36@retail.com,+1-202-4467053,Address_36
37,Customer_37,customer37@retail.com,+1-202-7780932,Address_37
38,Customer_38,customer38@retail.com,+1-202-7600691,Address_38
39,Customer_39,customer39@retail.com,+1-202-3166799,Address_39
40,Customer_40,customer40@retail.com,+1-202-2524415,Address_40
41,Customer_41,customer41@retail.com,+1-202-7509553,Address_41
42,Customer_42,customer42@retail.com,+1-202-8686334,Address_42
43,Customer_43,customer43@retail.com,+1-202-1873693,Address_43
44,Customer_44,customer44@retail.com,+1-202-5231590,Address_44
45,Customer_45,customer45@retail.com,+1-202-7369024,Address_45
46,Customer_46,customer46@retail.com,+1-202-3447790,Address_46
47,Customer_47,customer47@retail.com,+1-202-8758278,Address_47
48,Customer_48,customer48@retail.com,+1-202-4475767,Address_48
49,Customer_49,customer49@retail.com,+1-202-9638425,Address_49
50,Customer_50,customer50@retail.com,+1-202-3430853,Address_50
51,Customer_51,customer51@retail.com,+1-202-5282145,Address_51
52,Customer_52,customer52@retail.com,+1-202-4774684,Address_52
53,Customer_53,customer53@retail.com,+1-202-7830111,Address_53
54,Customer_54,customer54@retail.com,+1-202-6001773,Address_54
55,Customer_55,customer55@retail.com,+1-202-8239652,Address_55
56,Customer_56,customer56@retail.com,+1-202-8265526,Address_56
57,Customer_57,customer57@retail.com,+1-202-8642184,Address_57
58,Customer_58,customer58@retail.com,+1-202-1503238,Address_58
59,Customer_59,customer59@retail.com,+1-202-8349396,Address_59
60,Customer_60,customer60@retail.com,+1-202-2990357,Address_60
61,Customer_61,customer61@retail.com,+1-202-5511884,Address_61
62,Customer_62,customer62@retail.com,+1-202-7781310,Address_62
63,Customer_63,customer63@retail.com,+1-202-3707756,Address_63
64,Customer_64,customer64@retail.com,+1-202-1766924,Address_64
65,Customer_65,customer65@retail.com,+1-202-1899861,Address_65
66,Customer_66,customer66@retail.com,+1-202-6226764,Address_66
67,Customer_67,customer67@retail.com,+1-202-9630979,Address_67
68,Customer_68,customer68@retail.com,+1-202-6651422,Address_68
69,Customer_69,customer69@retail.com,+1-202-4011670,Address_69
70,Customer_70,customer70@retail.com,+1-202-7187377,Address_70
71,Customer_71,customer71@retail.com,+1-202-1043325,Address_71
72,Customer_72,customer72@retail.com,+1-202-7912623,Address_72
73,Customer_73,customer73@retail.com,+1-202-7695320,Address_73
74,Customer_74,customer74@retail.com,+1-202-9816422,Address_74
75,Customer_75,customer75@retail.com,+1-202-2882957,Address_75
76,Customer_76,customer76@retail.com,+1-202-5875158,Address_76
77,Customer_77,customer77@retail.com,+1-202-5420545,Address_77
78,Customer_78,customer78@retail.com,+1-202-4544661,Address_78
79,Customer_79,customer79@retail.com,+1-202-9855482,Address_79
80,Customer_80,customer80@retail.com,+1-202-8160991,Address_80
81,Customer_81,customer81@retail.com,+1-202-3748271,Address_81
82,Customer_82,customer82@retail.com,+1-202-3484298,Address_82
83,Customer_83,customer83@retail.com,+1-202-3843292,Address_83
84,Customer_84,customer84@retail.com,+1-202-9456409,Address_84
85,Customer_85,customer85@retail.com,+1-202-1801206,Address_85
86,Customer_86,customer86@retail.com,+1-202-3033222,Address_86
87,Customer_87,customer87@retail.com,+1-202-6378467,Address_87
88,Customer_88,customer88@retail.com,+1-202-6077223,Address_88
89,Customer_89,customer89@retail.com,+1-202-4047357,Address_89
90,Customer_90,customer90@retail.com,+1-202-9874576,Address_90
91,Customer_91,customer91@retail.com,+1-202-3276120,Address_91
